student_name,roll_number,branch,semester,attendance_pct,internal_marks,assignment_score,quiz_score,study_hours_per_week,previous_cgpa,activity_participation,final_percentage,pass_fail,grade
Rajat Thakur,CE20240249,CE,5,78.3,26.4,54.0,25.5,11.1,2.56,Medium,43.22,1,D
Ankita Rajput,ME20240250,ME,7,63.2,21.7,78.3,81.3,10.9,6.51,High,61.61,1,C
Vikram Mehta,CSE20240251,CSE,6,59.8,11.7,60.0,46.3,29.8,5.91,Medium,61.19,1,C
Aman Reddy,CE20240252,CE,4,72.6,15.0,38.2,49.5,21.5,4.06,Low,45.6,1,D
Gaurav Khanna,CE20240253,CE,2,52.4,3.7,53.1,33.3,7.9,6.55,Low,37.43,0,F
Kavita Iyer,ME20240254,ME,5,52.5,26.8,63.9,66.3,18.6,8.05,Medium,68.82,1,B
Rahul Pillai,CSE20240255,CSE,4,84.2,20.8,82.0,100.0,14.9,5.81,High,68.48,1,B
Priya Tiwari,ME20240256,ME,7,51.3,16.4,58.0,75.2,17.1,6.68,Low,47.34,1,D
Rajat Saxena,CSE20240257,CSE,6,84.0,27.2,35.4,39.0,15.1,6.69,Low,53.78,1,C
Neha Malhotra,EE20240258,EE,8,80.3,32.4,63.2,83.0,23.5,4.03,High,75.96,1,B
Divya Gupta,ECE20240259,ECE,5,40.9,50.0,64.5,51.0,16.8,9.9,Medium,71.41,1,B
Sakshi Patel,ECE20240260,ECE,3,59.8,9.9,66.1,88.2,13.5,5.35,None,61.11,1,C
Manish Sharma,ECE20240261,ECE,6,93.5,41.9,82.2,75.7,22.3,7.38,Medium,85.17,1,A
Varun Kumar,ME20240262,ME,2,54.3,39.7,84.4,0.0,15.9,7.58,High,58.49,1,C
Simran Khanna,EE20240263,EE,4,63.6,18.7,48.9,35.9,15.0,5.95,High,50.72,1,C
Shruti Sharma,CSE20240264,CSE,7,80.3,30.4,48.4,78.8,16.5,7.29,Medium,62.63,1,C
Sonal Patel,CE20240265,CE,3,86.1,22.5,39.1,61.3,13.3,6.64,Low,53.97,1,C
Rahul Jain,CSE20240266,CSE,7,67.5,30.2,77.4,35.5,14.1,3.65,High,79.93,1,B
Priya Patel,CE20240267,CE,3,61.2,46.1,93.9,44.1,9.3,5.6,Medium,73.31,1,B
Aditya Pandey,CSE20240268,CSE,5,97.6,35.3,55.1,16.1,8.0,5.1,High,64.81,1,C
Suresh Khanna,EE20240269,EE,3,100.0,34.1,56.7,56.1,6.0,5.37,Low,60.91,1,C
Sonal Yadav,CE20240270,CE,2,89.6,22.8,94.3,100.0,2.9,3.85,None,72.81,1,B
Nikhil Pillai,ME20240271,ME,2,73.5,10.2,73.1,75.7,7.0,8.23,Low,62.21,1,C
Bhavna Gupta,CSE20240272,CSE,1,57.5,25.5,71.6,100.0,12.6,9.08,Low,76.67,1,B
Vikram Pandey,CSE20240273,CSE,2,57.1,42.5,35.8,77.4,14.8,7.96,Medium,75.96,1,B
Gaurav Tiwari,CE20240274,CE,6,81.4,9.7,76.9,80.6,11.8,8.49,High,56.04,1,C
Rashmi Kumar,ME20240275,ME,3,79.5,15.3,41.6,100.0,0.0,5.58,Medium,49.11,1,D
Aarti Patel,ME20240276,ME,2,97.2,29.5,37.1,66.3,26.6,5.05,High,61.91,1,C
Varun Gupta,EE20240277,EE,5,83.7,16.2,54.4,53.9,22.7,4.8,Low,49.74,1,D
Tanvi Bhatia,ME20240278,ME,7,44.9,18.5,49.1,80.7,17.6,7.36,Medium,56.26,1,C
Suresh Nair,ME20240279,ME,8,90.9,22.9,57.1,90.0,29.3,6.61,High,69.1,1,B
Tanvi Yadav,ME20240280,ME,7,54.0,11.6,30.3,47.4,6.2,6.06,Medium,50.76,1,C
Pankaj Rajput,ECE20240281,ECE,1,65.1,16.3,83.1,42.1,29.1,8.53,Medium,71.04,1,B
Jyoti Nair,EE20240282,EE,7,76.5,36.4,86.8,61.1,6.3,6.93,Medium,69.12,1,B
Karan Verma,CSE20240283,CSE,3,100.0,12.3,19.2,76.3,15.9,4.69,Medium,62.76,1,C
Kunal Srivastava,CE20240284,CE,1,100.0,8.8,83.5,75.6,3.8,4.97,Low,64.61,1,C
Aman Mishra,CSE20240285,CSE,3,82.9,20.4,44.2,26.7,14.1,7.43,High,52.83,1,C
Suresh Reddy,EE20240286,EE,5,68.7,36.8,80.9,100.0,17.1,8.08,High,68.62,1,B
Priya Saxena,CE20240287,CE,1,81.6,25.6,60.5,43.9,12.8,7.19,Low,58.18,1,C
Vivek Saxena,EE20240288,EE,4,88.0,22.4,62.6,52.2,19.7,9.61,Medium,63.64,1,C
Harsh Srivastava,ME20240289,ME,6,66.2,28.5,57.9,38.1,14.8,9.14,Medium,61.83,1,C
Divya Jain,CE20240290,CE,6,100.0,7.1,88.7,100.0,9.8,6.99,Medium,66.74,1,B
Amit Chauhan,ME20240291,ME,3,76.1,33.9,34.7,63.3,9.5,4.69,Medium,58.1,1,C
Swati Singh,CSE20240292,CSE,7,81.0,32.6,75.4,39.3,20.5,3.84,High,66.21,1,B
Simran Chauhan,CSE20240293,CSE,8,84.0,23.1,86.2,77.0,8.8,5.5,Low,57.72,1,C
Deepak Gupta,CE20240294,CE,8,79.6,40.1,77.8,74.9,21.3,7.56,None,77.6,1,B
Anjali Das,CE20240295,CE,4,87.1,14.5,100.0,53.9,23.8,9.49,High,68.74,1,B
Aarti Dubey,EE20240296,EE,1,60.9,41.5,50.4,76.5,0.7,6.95,Medium,65.06,1,B
Rashmi Das,EE20240297,EE,4,62.0,29.9,83.1,39.8,23.1,8.3,High,71.8,1,B
Shruti Agarwal,ME20240298,ME,4,52.2,24.0,59.7,47.2,30.5,5.76,None,48.62,1,D
Sneha Bhatia,CE20240299,CE,7,79.9,27.8,89.1,13.8,16.0,7.32,None,58.89,1,C
Divya Mehta,CSE20240300,CSE,8,86.0,26.7,61.8,28.9,18.8,7.68,High,62.78,1,C
Deepak Khanna,EE20240301,EE,1,80.2,42.6,53.5,97.8,22.3,2.64,None,67.0,1,B
Tanvi Khanna,EE20240302,EE,5,100.0,15.1,90.7,94.1,11.8,5.46,High,73.91,1,B
Suresh Chopra,CSE20240303,CSE,7,71.9,18.8,51.2,59.4,15.5,7.91,High,55.51,1,C
Mohit Tiwari,EE20240304,EE,4,84.0,40.4,30.9,94.6,3.5,6.69,Medium,65.46,1,B
Mohit Reddy,ME20240305,ME,4,52.3,20.9,50.6,54.5,15.1,4.05,None,42.98,1,D
Nisha Kumar,CE20240306,CE,5,65.0,38.8,75.6,52.6,18.0,1.83,Medium,65.84,1,B
Aditya Kumar,CSE20240307,CSE,4,84.5,48.4,92.6,59.2,18.1,5.54,High,77.24,1,B
Megha Mehta,CE20240308,CE,4,87.3,23.2,64.4,55.3,22.5,6.07,Low,64.55,1,C
Akash Khanna,EE20240309,EE,4,66.7,36.2,91.0,53.3,7.8,4.61,Low,72.33,1,B
Deepak Kumar,EE20240310,EE,6,70.7,14.2,32.1,83.2,9.7,6.46,Low,50.78,1,C
Bhavna Rajput,CSE20240311,CSE,7,44.7,37.1,52.2,61.3,29.2,7.11,None,68.04,1,B
Ankita Pandey,ME20240312,ME,2,65.6,30.4,55.7,73.7,12.8,7.41,High,73.4,1,B
Shruti Verma,ECE20240313,ECE,7,88.0,33.7,59.5,80.7,15.6,1.96,High,70.46,1,B
Vivek Sharma,CSE20240314,CSE,5,82.4,20.3,63.9,66.5,13.5,3.83,High,58.23,1,C
Kunal Mehta,ECE20240315,ECE,4,81.0,8.1,77.2,36.7,7.4,5.65,Medium,52.37,1,C
Simran Pandey,ECE20240316,ECE,7,72.9,34.0,52.2,28.2,27.0,7.23,Medium,56.3,1,C
Rahul Mehta,ME20240317,ME,6,72.1,3.2,65.1,61.3,9.8,7.08,Low,44.65,1,D
Pankaj Jain,ECE20240318,ECE,8,60.1,24.2,61.0,54.2,5.0,7.05,Medium,51.7,1,C
Megha Mehta,ECE20240319,ECE,5,84.6,39.3,41.6,59.9,10.4,5.51,Medium,75.36,1,B
Sneha Thakur,ME20240320,ME,3,79.6,30.3,59.5,57.6,0.0,5.61,High,55.99,1,C
Simran Srivastava,ECE20240321,ECE,7,80.9,50.0,58.8,100.0,8.8,4.89,High,73.4,1,B
Akash Yadav,ECE20240322,ECE,3,62.5,40.3,58.4,28.7,6.3,7.58,High,56.44,1,C
Aarti Mehta,ECE20240323,ECE,4,33.2,20.2,62.7,14.2,18.9,4.54,High,45.61,1,D
Kunal Mehta,CSE20240324,CSE,6,91.7,28.3,63.7,65.3,8.6,7.73,High,69.3,1,B
Neha Thakur,CSE20240325,CSE,6,63.4,27.4,52.5,49.7,21.1,6.57,None,62.27,1,C
Kunal Chopra,CSE20240326,CSE,7,56.5,9.0,90.0,65.0,25.2,6.12,High,60.89,1,C
Aditya Verma,ME20240327,ME,5,84.5,16.7,36.3,70.8,20.2,5.02,Medium,48.49,1,D
Priya Tiwari,EE20240328,EE,5,64.9,21.3,46.1,86.3,12.3,3.76,Low,48.67,1,D
Bhavna Srivastava,ECE20240329,ECE,6,91.1,3.6,100.0,24.8,15.1,5.03,None,56.89,1,C
Sonal Gupta,ECE20240330,ECE,5,83.1,28.6,39.2,45.8,1.8,5.61,Medium,53.02,1,C
Vikram Bhatia,ME20240331,ME,6,84.3,25.0,32.2,67.4,12.9,1.94,Low,56.87,1,C
Arjun Kapoor,ECE20240332,ECE,7,47.4,7.9,78.2,75.0,7.1,5.84,Low,46.7,1,D
Nisha Khanna,CSE20240333,CSE,2,93.8,32.9,16.3,100.0,19.6,7.86,Medium,66.01,1,B
Akash Patel,EE20240334,EE,6,76.7,36.6,56.8,79.0,34.6,7.22,High,74.97,1,B
Sakshi Gupta,CE20240335,CE,3,65.4,30.7,100.0,56.8,18.0,5.31,High,62.57,1,C
Suresh Agarwal,ECE20240336,ECE,5,74.6,24.1,28.0,38.4,0.0,6.28,Low,44.02,1,D
Simran Joshi,CSE20240337,CSE,6,40.0,35.1,18.4,45.6,11.1,5.2,Low,47.23,1,D
Neha Yadav,CE20240338,CE,6,79.4,36.2,29.0,45.0,15.0,6.47,Low,61.59,1,C
Aditya Gupta,EE20240339,EE,7,53.5,31.7,81.8,72.4,14.7,8.97,Low,59.36,1,C
Mohit Kapoor,CE20240340,CE,5,47.7,18.1,86.7,63.7,8.2,7.94,None,55.02,1,C
Arjun Mehta,CSE20240341,CSE,2,44.6,31.3,50.7,28.9,16.0,7.14,High,51.29,1,C
Deepak Kapoor,CE20240342,CE,7,92.0,42.3,77.0,48.4,4.1,5.31,Medium,65.61,1,B
Karan Nair,ME20240343,ME,2,60.7,20.8,92.6,77.3,6.4,7.55,None,61.61,1,C
Arjun Reddy,CE20240344,CE,8,99.6,50.0,100.0,65.7,19.2,3.16,Low,77.06,1,B
Vikram Das,ECE20240345,ECE,7,62.4,21.7,56.6,70.5,5.9,5.75,Medium,60.91,1,C
Pankaj Khanna,ECE20240346,ECE,5,41.3,28.4,11.4,66.4,18.3,7.25,Medium,57.02,1,C
Simran Dubey,ME20240347,ME,1,51.9,19.9,43.9,93.8,3.0,7.53,None,58.94,1,C
Priya Jain,CSE20240348,CSE,5,94.2,30.7,52.6,63.2,28.1,7.41,High,70.23,1,B
Varun Kapoor,ECE20240349,ECE,5,69.2,7.1,56.3,49.5,7.8,6.73,Low,40.99,1,D
Tanvi Chopra,EE20240350,EE,2,62.1,21.4,57.9,37.9,12.2,5.85,None,49.73,1,D
Ritu Gupta,ECE20240351,ECE,2,74.9,14.9,86.6,63.5,16.6,7.17,None,59.1,1,C
Gaurav Chopra,ECE20240352,ECE,5,81.0,29.6,90.0,4.3,9.5,4.48,Medium,52.7,1,C
Anjali Srivastava,CSE20240353,CSE,5,92.1,39.9,58.2,53.9,15.1,4.68,None,60.1,1,C
Mohit Rajput,CE20240354,CE,5,98.1,35.8,86.2,53.5,18.6,6.31,None,72.38,1,B
Komal Reddy,ECE20240355,ECE,2,65.5,0.0,69.9,28.0,21.7,6.51,Low,41.45,1,D
Nisha Jain,ME20240356,ME,5,48.1,50.0,63.4,37.6,20.3,2.91,Medium,64.15,1,C
Arjun Malhotra,CE20240357,CE,5,64.6,31.5,81.9,75.8,12.6,7.02,None,69.33,1,B
Neha Kumar,EE20240358,EE,8,76.7,18.7,63.6,63.1,12.8,7.59,Low,64.28,1,C
Sneha Verma,CSE20240359,CSE,4,54.7,29.9,100.0,60.2,32.8,6.06,Low,61.41,1,C
Ishita Yadav,EE20240360,EE,1,54.8,30.1,30.4,64.7,21.6,10.0,None,62.68,1,C
Divya Yadav,CE20240361,CE,3,78.2,20.0,50.7,60.0,6.6,4.97,Medium,49.21,1,D
Nisha Saxena,CE20240362,CE,1,71.1,30.4,59.2,85.3,14.8,5.55,None,57.02,1,C
Sonal Tiwari,CE20240363,CE,4,72.6,20.7,71.7,60.7,11.3,5.49,None,53.65,1,C
Aman Das,EE20240364,EE,3,58.3,23.1,89.9,25.9,12.9,6.06,Medium,59.74,1,C
Nikhil Nair,CE20240365,CE,7,67.9,19.8,61.5,93.9,4.2,5.61,Low,54.89,1,C
Aditya Tiwari,EE20240366,EE,5,55.4,10.8,30.7,66.1,10.7,3.67,None,47.01,1,D
Nisha Agarwal,CE20240367,CE,4,88.0,29.8,80.5,45.0,28.5,5.22,Low,69.52,1,B
Pooja Verma,ME20240368,ME,8,90.6,35.0,78.6,30.4,18.6,6.02,High,66.68,1,B
Rohan Yadav,CE20240369,CE,7,38.8,34.2,19.3,66.7,0.0,8.41,Medium,57.68,1,C
Rahul Tiwari,EE20240370,EE,5,55.3,37.8,61.9,55.4,23.7,10.0,High,73.71,1,B
Varun Yadav,ECE20240371,ECE,2,45.1,31.9,27.0,92.6,22.7,8.6,High,59.82,1,C
Nisha Jain,CE20240372,CE,6,60.3,21.6,47.4,50.4,11.1,4.8,High,59.8,1,C
Swati Mishra,ECE20240373,ECE,4,70.5,38.1,42.1,39.6,19.7,4.95,Medium,60.55,1,C
Sakshi Nair,ME20240374,ME,2,45.9,11.7,79.8,77.7,7.1,5.91,Medium,50.89,1,C
Divya Bhatia,CSE20240375,CSE,4,55.4,17.2,64.6,78.4,10.2,9.41,Low,54.02,1,C
Kunal Chauhan,ME20240376,ME,8,53.9,16.4,33.7,61.7,26.0,5.9,None,54.54,1,C
Suresh Rajput,CE20240377,CE,4,75.7,41.0,81.4,72.9,11.8,3.81,Medium,71.54,1,B
Aarti Yadav,ECE20240378,ECE,2,73.2,39.3,30.5,57.2,0.0,5.3,High,61.54,1,C
Rahul Saxena,ECE20240379,ECE,8,59.0,33.8,69.3,63.1,13.5,7.56,Low,61.24,1,C
Pooja Dubey,EE20240380,EE,3,75.2,40.9,44.1,83.6,13.4,7.44,Medium,74.83,1,B
Sneha Mehta,ECE20240381,ECE,1,62.2,17.4,54.0,71.8,23.6,5.84,Low,59.73,1,C
Gaurav Joshi,EE20240382,EE,5,67.1,32.2,73.1,54.3,14.1,7.43,Low,60.46,1,C
Pankaj Chopra,CSE20240383,CSE,4,100.0,26.5,73.5,87.8,10.6,2.11,Low,56.68,1,C
Vivek Thakur,CE20240384,CE,5,96.1,38.2,91.4,6.0,22.4,6.39,Medium,72.52,1,B
Pankaj Gupta,EE20240385,EE,6,48.6,26.6,60.2,100.0,15.0,7.75,Low,55.06,1,C
Aarti Malhotra,CSE20240386,CSE,2,86.9,23.4,68.7,20.5,8.0,4.7,Medium,53.77,1,C
Akash Das,ECE20240387,ECE,5,86.6,34.5,52.4,44.2,23.2,4.69,High,62.66,1,C
Akash Tiwari,ECE20240388,ECE,2,51.3,38.5,66.0,57.1,15.5,2.84,High,65.2,1,B
Deepak Pillai,CSE20240389,CSE,5,86.7,20.0,71.7,54.8,14.0,9.06,Low,61.94,1,C
Nisha Reddy,ECE20240390,ECE,1,99.7,27.3,59.8,80.1,15.4,4.9,High,74.31,1,B
Vikram Rajput,CSE20240391,CSE,1,51.8,15.3,22.3,34.7,5.4,6.63,Low,35.78,0,F
Siddharth Singh,EE20240392,EE,8,55.5,0.0,69.3,63.7,9.8,7.29,Low,49.93,1,D
Aditya Tiwari,EE20240393,EE,1,90.3,30.4,70.0,45.3,14.0,8.92,Medium,79.24,1,B
Ankit Bhatia,CSE20240394,CSE,8,76.9,35.3,47.0,64.5,12.4,5.92,Low,56.89,1,C
Ankit Mehta,EE20240395,EE,1,81.9,31.1,33.7,56.6,24.2,5.23,None,60.83,1,C
Arjun Jain,EE20240396,EE,1,78.1,4.6,94.5,60.0,15.7,6.51,Low,69.03,1,B
Siddharth Kumar,EE20240397,EE,1,79.0,23.8,72.8,45.9,20.8,8.51,Medium,65.3,1,B
Arjun Pandey,ME20240398,ME,2,48.1,1.4,57.0,46.8,14.1,5.89,Low,39.06,0,F
Mohit Saxena,CE20240399,CE,4,90.9,44.4,37.0,64.3,22.5,4.48,Medium,73.36,1,B
Divya Thakur,ECE20240400,ECE,8,93.1,15.0,43.9,78.8,17.2,3.43,Medium,55.68,1,C
Ritu Khanna,ME20240401,ME,5,67.9,43.1,90.7,44.8,14.1,4.0,Medium,57.94,1,C
Varun Chauhan,EE20240402,EE,1,71.2,39.4,65.0,38.9,13.9,7.76,High,73.3,1,B
Tushar Malhotra,CSE20240403,CSE,2,44.4,17.2,49.9,71.5,6.4,5.62,Low,36.21,0,F
Sneha Reddy,EE20240404,EE,2,81.3,14.4,73.2,57.3,18.1,5.11,None,53.14,1,C
Manish Malhotra,CE20240405,CE,2,82.3,32.2,44.1,76.3,13.7,4.91,Low,67.95,1,B
Arjun Pillai,EE20240406,EE,8,70.9,17.9,95.0,38.1,10.0,6.35,Low,53.84,1,C
Rashmi Saxena,CSE20240407,CSE,4,92.2,29.2,91.8,18.9,22.9,5.77,Medium,62.06,1,C
Shruti Reddy,CE20240408,CE,8,66.0,22.2,51.7,46.3,4.0,5.71,None,52.96,1,C
Varun Pillai,EE20240409,EE,5,82.2,6.6,48.2,41.1,10.6,8.63,Low,44.97,1,D
Mohit Dubey,CE20240410,CE,4,53.6,1.2,4.4,56.3,22.2,8.97,Medium,34.82,0,F
Deepak Yadav,ECE20240411,ECE,3,71.6,30.7,29.4,44.0,16.5,3.3,Medium,52.63,1,C
Rashmi Reddy,ECE20240412,ECE,7,68.9,21.3,32.5,74.3,13.6,6.79,Medium,54.62,1,C
Tushar Dubey,EE20240413,EE,2,76.1,21.4,65.0,51.7,16.0,4.8,High,51.41,1,C
Vivek Iyer,CE20240414,CE,8,65.3,36.4,54.8,61.3,15.4,5.75,Medium,65.83,1,B
Preeti Khanna,CSE20240415,CSE,3,69.6,42.1,32.4,61.5,1.9,6.76,Medium,63.49,1,C
Rashmi Nair,EE20240416,EE,6,86.9,24.7,55.8,62.3,11.2,5.82,Low,57.68,1,C
Divya Gupta,ECE20240417,ECE,8,64.1,23.9,73.1,57.5,26.9,6.61,High,62.54,1,C
Aman Pillai,ECE20240418,ECE,1,43.1,34.0,73.6,69.2,8.7,7.41,Medium,64.18,1,C
Neha Malhotra,EE20240419,EE,7,100.0,11.7,20.2,40.5,11.5,6.73,Low,54.38,1,C
Karan Mehta,CE20240420,CE,1,96.9,30.7,59.2,88.8,9.7,5.04,Low,66.0,1,B
Tanvi Mehta,ECE20240421,ECE,4,48.7,34.6,31.6,52.8,13.3,5.07,Medium,55.4,1,C
Harsh Mishra,CE20240422,CE,7,84.4,36.2,81.8,29.1,9.3,3.61,High,65.18,1,B
Amit Sharma,ECE20240423,ECE,8,62.9,4.8,79.3,62.1,17.9,4.66,None,52.05,1,C
Anjali Malhotra,ECE20240424,ECE,5,76.7,18.9,42.2,39.3,15.6,9.73,None,55.71,1,C
Deepak Dubey,ME20240425,ME,3,77.3,17.5,45.1,72.6,20.2,4.77,High,52.51,1,C
Arjun Agarwal,ECE20240426,ECE,5,67.8,29.2,51.9,100.0,5.6,4.05,High,59.11,1,C
Komal Kapoor,CSE20240427,CSE,8,57.9,33.8,12.4,40.7,11.3,6.78,Low,51.65,1,C
Harsh Jain,EE20240428,EE,4,59.6,46.0,69.4,65.3,12.2,6.0,Low,76.77,1,B
Tanvi Pandey,EE20240429,EE,1,55.5,22.1,56.0,19.4,17.6,5.85,Medium,45.71,1,D
Manish Jain,CE20240430,CE,7,57.0,22.0,83.3,68.0,7.7,8.74,Low,64.65,1,C
Varun Tiwari,ECE20240431,ECE,5,70.8,41.8,37.8,38.5,21.3,7.19,High,63.97,1,C
Karan Yadav,CSE20240432,CSE,8,59.1,31.6,48.4,44.3,23.5,5.25,None,55.83,1,C
Bhavna Agarwal,CE20240433,CE,5,84.3,43.2,28.9,33.8,6.1,5.44,None,65.13,1,B
Bhavna Jain,ME20240434,ME,8,98.8,31.5,39.9,74.1,10.1,5.3,Low,67.41,1,B
Preeti Rajput,CE20240435,CE,1,61.6,14.1,36.0,80.2,9.7,7.77,Low,45.17,1,D
Ankita Mehta,CE20240436,CE,7,76.3,12.0,83.9,58.5,35.1,5.65,None,57.01,1,C
Arjun Singh,ECE20240437,ECE,3,81.0,9.4,46.6,39.0,10.6,2.97,None,47.13,1,D
Komal Mehta,ME20240438,ME,1,80.5,35.9,64.7,93.0,27.4,6.11,Medium,75.93,1,B
Jyoti Saxena,CE20240439,CE,5,73.4,42.3,53.6,41.5,3.9,3.43,None,50.47,1,C
Siddharth Nair,CSE20240440,CSE,3,85.4,50.0,34.1,10.4,6.1,10.0,High,64.19,1,C
Preeti Verma,CSE20240441,CSE,8,80.7,38.1,58.3,68.1,8.5,4.46,Low,66.98,1,B
Rahul Iyer,EE20240442,EE,3,49.7,42.0,75.2,33.7,7.2,5.91,Medium,64.41,1,C
Nikhil Thakur,ME20240443,ME,8,87.6,21.0,35.4,79.7,11.9,6.66,Low,58.84,1,C
Aditya Pandey,ME20240444,ME,1,88.0,14.1,79.8,49.6,8.3,5.68,Low,67.53,1,B
Swati Khanna,EE20240445,EE,5,58.3,38.2,43.3,71.3,7.4,5.68,Medium,63.94,1,C
Pankaj Saxena,CE20240446,CE,4,72.7,33.0,51.4,88.8,23.3,6.96,Medium,68.62,1,B
Pankaj Rajput,ME20240447,ME,5,84.3,29.3,73.7,31.4,23.8,8.95,Medium,64.07,1,C
Priya Mehta,CSE20240448,CSE,8,68.2,32.6,47.4,45.5,21.6,7.58,Medium,57.27,1,C
Kavita Pandey,CSE20240449,CSE,2,91.3,31.9,62.8,56.3,18.2,8.86,Medium,73.09,1,B
Preeti Thakur,ECE20240450,ECE,7,100.0,43.4,55.1,91.8,14.7,4.32,Low,71.95,1,B
Neha Yadav,ME20240451,ME,6,57.9,43.5,64.8,43.5,10.0,6.77,High,73.6,1,B
Rohan Thakur,CE20240452,CE,4,47.1,34.5,9.6,44.9,6.4,6.48,Medium,55.0,1,C
Ishita Das,EE20240453,EE,3,77.5,38.1,21.7,68.5,16.9,6.83,High,68.72,1,B
Simran Pillai,EE20240454,EE,4,85.0,34.2,75.6,45.3,4.6,8.68,High,63.51,1,C
Mohit Khanna,CE20240455,CE,7,67.8,22.5,84.8,61.4,6.0,5.8,None,53.58,1,C
Priya Khanna,ECE20240456,ECE,3,98.2,37.1,42.0,23.9,23.2,5.47,Low,68.86,1,B
Vivek Pillai,EE20240457,EE,7,47.9,11.3,56.6,100.0,29.2,7.16,Medium,55.44,1,C
Ankit Joshi,ME20240458,ME,3,84.5,40.6,68.5,28.4,17.1,3.0,Medium,67.62,1,B
Ankit Singh,ECE20240459,ECE,4,61.1,13.7,77.3,50.9,22.9,5.77,Medium,56.55,1,C
Suresh Kapoor,ME20240460,ME,3,100.0,31.4,17.4,57.3,12.0,5.96,Medium,60.6,1,C
Aditya Bhatia,CSE20240461,CSE,3,100.0,17.9,42.5,100.0,3.3,4.54,Low,54.95,1,C
Anjali Iyer,ECE20240462,ECE,2,58.2,34.6,54.7,28.9,18.9,8.1,None,57.88,1,C
Bhavna Iyer,EE20240463,EE,5,62.1,27.6,77.5,100.0,18.6,4.29,None,64.88,1,C
Amit Thakur,ECE20240464,ECE,5,87.5,8.9,100.0,74.7,14.6,5.96,Medium,67.41,1,B
Pooja Das,ECE20240465,ECE,6,65.0,33.0,57.0,67.2,12.1,6.73,Medium,58.32,1,C
Varun Sharma,ECE20240466,ECE,6,71.2,21.1,31.0,36.3,21.7,8.64,Low,52.46,1,C
Shruti Kapoor,ECE20240467,ECE,8,72.5,38.6,70.8,70.6,6.1,6.18,Medium,67.53,1,B
Sneha Reddy,ME20240468,ME,8,37.4,28.0,91.1,42.1,7.8,7.89,None,58.56,1,C
Pankaj Das,CSE20240469,CSE,8,71.8,32.7,64.4,85.9,5.9,7.46,None,61.38,1,C
Anjali Verma,CE20240470,CE,2,59.6,16.5,42.1,36.6,14.7,6.42,Medium,40.2,1,D
Arjun Iyer,ECE20240471,ECE,6,63.1,20.9,83.1,55.5,5.3,4.24,Low,55.41,1,C
Kunal Das,EE20240472,EE,7,98.0,22.5,76.6,45.8,8.5,3.62,Medium,50.68,1,C
Vivek Verma,ECE20240473,ECE,8,49.4,38.3,39.4,36.3,8.4,6.39,High,61.49,1,C
Sneha Verma,EE20240474,EE,8,86.6,48.1,70.4,74.3,11.9,5.22,High,76.1,1,B
Karan Mehta,ME20240475,ME,4,67.0,18.3,83.9,69.8,2.1,7.85,None,50.17,1,C
Manish Das,EE20240476,EE,1,67.0,40.9,88.0,84.6,14.7,7.54,Low,72.82,1,B
Ankita Kumar,CE20240477,CE,7,86.2,2.0,60.5,18.8,24.0,5.87,Medium,48.34,1,D
Siddharth Dubey,CSE20240478,CSE,8,78.1,13.7,54.1,81.4,15.1,4.12,Medium,51.59,1,C
Pooja Dubey,EE20240479,EE,8,82.3,16.5,89.0,100.0,26.3,7.12,Medium,71.92,1,B
Ishita Rajput,EE20240480,EE,8,89.4,11.8,35.4,48.1,24.7,4.37,Low,53.24,1,C
Neha Agarwal,CSE20240481,CSE,1,66.0,9.0,71.6,99.7,20.2,4.83,None,54.68,1,C
Megha Yadav,CE20240482,CE,1,61.0,33.0,31.9,52.2,14.6,4.44,Medium,48.44,1,D
Varun Patel,ECE20240483,ECE,2,52.5,25.4,85.4,27.8,14.2,5.95,Medium,52.66,1,C
Rohan Nair,EE20240484,EE,7,57.1,32.6,56.3,51.3,20.1,8.31,Low,68.92,1,B
Gaurav Kapoor,CSE20240485,CSE,2,100.0,36.3,89.9,81.1,10.9,6.19,None,84.24,1,A
Manish Dubey,ME20240486,ME,3,94.4,31.2,72.8,39.6,0.0,5.4,Medium,50.84,1,C
Priya Dubey,CSE20240487,CSE,1,47.7,35.9,35.1,44.8,17.9,3.45,Low,55.08,1,C
Kunal Chopra,ME20240488,ME,4,48.2,27.2,93.3,71.1,5.0,7.19,None,61.19,1,C
Sakshi Reddy,CE20240489,CE,6,80.7,13.8,96.1,58.1,6.3,4.8,None,59.56,1,C
Tanvi Chopra,ECE20240490,ECE,4,81.9,40.7,81.4,70.9,14.0,6.41,Low,70.44,1,B
Tanvi Yadav,CSE20240491,CSE,6,81.9,20.9,45.2,63.2,13.2,5.56,Medium,47.39,1,D
Rashmi Kapoor,EE20240492,EE,1,67.4,16.8,55.3,68.6,2.7,7.71,Low,56.13,1,C
Rashmi Sharma,CE20240493,CE,1,69.7,25.9,65.2,48.5,15.3,5.92,None,51.95,1,C
Tushar Yadav,CSE20240494,CSE,1,77.9,17.0,46.5,63.1,21.7,6.09,None,48.14,1,D
Deepak Srivastava,EE20240495,EE,2,73.5,23.0,99.2,37.6,5.0,7.07,Low,52.48,1,C
Aman Das,CSE20240496,CSE,7,32.1,32.1,65.2,86.3,24.2,9.99,Medium,70.73,1,B
Pankaj Nair,ME20240497,ME,6,67.9,32.2,2.5,44.0,1.5,7.8,None,49.43,1,D
Ishita Malhotra,CSE20240498,CSE,7,56.7,17.2,69.5,82.8,30.9,6.04,Medium,64.98,1,C
